system   D            wsystem.c:583  maybe_parent_dir                 [   0.00027] Also searching D:\dev\alx\prj\VS12\
display  D   display_settings.c:506  _al_score_display_settings       [   0.02384] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.02384] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.02385] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.02386] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.02387] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.02387] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.02388] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.02389] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.02390] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.02391] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02392] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02392] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02393] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02394] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.02395] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.02396] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.02396] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.02397] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.02398] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.02399] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.02400] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.02400] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.02401] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.02402] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.02403] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.02404] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.02404] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.02405] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02406] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02407] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02408] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02408] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.02409] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.02410] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.02411] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.02412] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.02412] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.02413] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.02414] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.02415] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.02417] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.02418] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.02418] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.02419] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.02420] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.02421] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02422] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02422] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02423] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02424] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.02425] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.02426] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.02427] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.02427] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.02428] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.02429] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.02430] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.02430] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.02431] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.02432] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.02433] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.02433] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.02434] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.02435] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02436] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02437] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02438] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02438] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02439] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02440] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02441] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02442] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02443] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02443] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02444] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02445] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02446] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02447] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02447] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02448] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02449] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02450] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02451] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02451] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02452] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02453] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02454] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02455] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02455] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02456] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02457] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02458] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02459] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02459] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02460] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02461] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02462] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02462] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02463] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02464] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02465] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02466] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02467] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02467] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02468] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02469] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02470] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02471] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02472] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02472] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02473] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02474] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02475] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02475] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02476] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02477] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02478] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02479] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02480] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02480] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02481] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02482] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02483] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02484] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02484] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02485] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02486] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02487] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02488] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02488] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02489] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02490] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02491] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02492] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02492] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02493] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02494] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02495] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02496] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02496] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02497] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02498] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02499] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02500] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02501] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02501] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02502] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02503] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02504] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02504] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02505] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02506] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02507] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02508] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02508] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02509] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02510] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02511] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02512] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02512] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02513] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02514] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02516] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02517] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02518] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02518] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
